1,31,2.5
2,720,4
2,661,4
2,616,3
2,593,3
2,592,5
2,590,5
2,589,5
2,588,3
2,587,3
2,586,3
2,585,5
2,552,3
2,551,5
2,550,3
2,539,3
2,537,4
2,527,4
2,515,4
2,509,4
2,508,4
2,500,4
2,497,3
2,485,3
2,480,4
2,474,2
2,468,4
2,457,3
2,454,4
2,410,3
2,405,2
2,382,3
2,377,3
2,372,3
2,371,3
2,370,2
2,367,3
2,364,3
2,357,3
2,356,3
2,350,4
2,349,4
2,339,3
2,319,1
2,317,2
2,314,4
2,300,3
2,296,4
2,292,3
2,273,4
2,272,3
2,266,5
2,265,5
2,261,4
2,253,4
2,248,3
2,235,3
2,225,3
2,223,1
2,222,5
2,208,3
2,186,3
2,185,3
2,168,3
2,165,3
2,161,3
2,153,4
2,150,5
2,144,3
2,110,4
2,62,3
2,52,3
2,50,4
2,47,4
2,39,5
2,17,5
2,10,4
3,866,3
3,778,4
3,736,3.5
3,595,2
3,593,3
3,592,3
3,588,3
3,527,3
3,377,2.5
3,356,5
3,355,2.5
3,318,5
3,296,4.5
3,267,3
3,247,3.5
3,110,4
3,60,3
4,919,5
4,913,5
4,910,4
4,903,5
4,858,5
4,616,5
4,610,4
4,596,5
4,594,5
4,590,3
4,589,5
4,588,5
4,541,5
4,480,5
4,464,4
4,442,4
4,440,4
4,435,1
4,434,4
4,431,3
4,410,3
4,380,3
4,367,4
4,364,5
4,357,5
4,356,5
4,349,5
4,329,3
4,296,5
4,289,4
4,260,5
4,185,3
4,173,3
4,153,4
4,141,5
4,112,5
4,34,5
4,10,4
5,919,4
5,903,3.5
5,858,2.5
5,788,3.5
5,597,5
5,595,4
5,588,3.5
5,586,4
5,500,4.5
5,440,4
5,377,4
5,367,4
5,364,4
5,356,4
5,344,3.5
5,277,4.5
5,231,3.5
5,150,4
5,141,4
5,104,4
5,39,4
5,3,4
6,903,4
6,596,4
6,293,5
6,173,2
6,158,2
6,111,4
7,924,4
7,786,2
7,780,3
7,745,5
7,737,1
7,736,1
7,724,2
7,720,5
7,708,3
7,671,4
7,610,3
7,595,3
7,594,4
7,592,3
7,590,4
7,589,3
7,588,4
7,551,4
7,541,4
7,539,3
7,534,4
7,500,3
7,480,4
7,380,4
7,377,3
7,367,3
7,364,3
7,357,3
7,356,3
7,355,3
7,345,3
7,333,3
7,329,3
7,318,5
7,316,2
7,272,3
7,260,5
7,207,3
7,198,2
7,151,4
7,141,4
7,112,4
7,110,5
7,104,3
7,40,4
7,34,4
7,31,3
7,21,3
7,10,3
7,1,3
8,858,5
8,805,3.5
8,628,4
8,593,4.5
8,589,4
8,543,5
8,527,5
8,524,2
8,520,3.5
